# Species	Genes	Alg.-Conn.	GCF_000007365.1_ASM736v1_protein.faa	GCF_000007725.1_ASM772v1_protein.faa	GCF_000009605.1_ASM960v1_protein.faa	GCF_000021065.1_ASM2106v1_protein.faa	GCF_000021085.1_ASM2108v1_protein.faa	GCF_000090965.1_ASM9096v1_protein.faa	GCF_000174075.1_ASM17407v1_protein.faa	GCF_000183225.1_ASM18322v1_protein.faa	GCF_000183245.1_ASM18324v1_protein.faa	GCF_000183285.1_ASM18328v1_protein.faa	GCF_000183305.1_ASM18330v1_protein.faa	GCF_000217635.1_ASM21763v1_protein.faa	GCF_000225445.1_ASM22544v1_protein.faa	GCF_000225465.1_ASM22546v1_protein.faa	GCF_000521525.1_ASM52152v1_protein.faa	GCF_000521545.1_ASM52154v1_protein.faa	GCF_000521565.1_ASM52156v1_protein.faa	GCF_000521585.1_ASM52158v1_protein.faa	GCF_001280225.1_ASM128022v1_protein.faa	GCF_001648115.1_ASM164811v1_protein.faa	GCF_001700895.1_ASM170089v1_protein.faa	GCF_003096055.1_ASM309605v1_protein.faa	GCF_003099975.1_ASM309997v1_protein.faa	GCF_003671935.1_ASM367193v1_protein.faa	GCF_005080705.1_ASM508070v1_protein.faa	GCF_005080725.1_ASM508072v1_protein.faa	GCF_005080745.1_ASM508074v1_protein.faa	GCF_005080765.1_ASM508076v1_protein.faa	GCF_005080785.1_ASM508078v1_protein.faa	GCF_005080825.1_ASM508082v1_protein.faa	GCF_005080845.1_ASM508084v1_protein.faa	GCF_005080865.1_ASM508086v1_protein.faa	GCF_005080885.1_ASM508088v1_protein.faa	GCF_005080965.1_ASM508096v1_protein.faa	GCF_005081185.1_ASM508118v1_protein.faa	GCF_005081445.1_ASM508144v1_protein.faa	GCF_005081705.1_ASM508170v1_protein.faa	GCF_005081945.1_ASM508194v1_protein.faa	GCF_005082145.1_ASM508214v1_protein.faa	GCF_005082365.1_ASM508236v1_protein.faa	GCF_005082585.1_ASM508258v1_protein.faa	GCF_005082825.1_ASM508282v1_protein.faa	GCF_005083105.1_ASM508310v1_protein.faa	GCF_005083345.1_ASM508334v1_protein.faa	GCF_005083565.1_ASM508356v1_protein.faa	GCF_005083845.1_ASM508384v1_protein.faa	GCF_005237295.1_ASM523729v1_protein.faa	GCF_006741185.1_BucNmo_1.0_protein.faa	GCF_009068925.1_ASM906892v1_protein.faa	GCF_009069125.1_ASM906912v1_protein.faa	GCF_011035165.1_ASM1103516v1_protein.faa	GCF_013394915.1_ASM1339491v1_protein.faa	GCF_013487785.1_ASM1348778v1_protein.faa	GCF_900016785.1_BTsPazieg1.0_protein.faa	GCF_900128595.1_BCipseudotaxifoliae_v1.0_protein.faa	GCF_900128725.1_BCifornacula_v1.0_protein.faa	GCF_900128735.1_BCiconfinis_v1.0_protein.faa	GCF_900560745.1_BuCistrobi3249_v2.0_protein.faa	GCF_900698845.1_BuCisplendens_pseudotsugae_v1.0_protein.faa	GCF_900698865.1_BuCicuneomaculata_v1.0_protein.faa	GCF_900698895.1_BuCicurtihirsuta_v1.0_protein.faa	GCF_900698905.1_BuCikochiana_v1.0_protein.faa	GCF_900698915.1_BuCicurvipes_v1.0_protein.faa	GCF_900698945.1_BuCilaricifoliae_v1.0_protein.faa	GCF_900698975.1_BuCisplendens_Palmer_v1.0_protein.faa	GCF_900699025.1_BuCipseudotaxifoliae_v2.0_protein.faa	GCF_900699035.1_BuCipiceae_v1.0_protein.faa
67	67	0.297	WP_009874442.1	WP_011091543.1	WP_009874442.1	WP_009874442.1	WP_009874442.1	WP_011672684.1	WP_009874442.1	WP_009874442.1	WP_009874442.1	WP_009874442.1	WP_009874442.1	WP_013878025.1	WP_009874442.1	WP_013878025.1	WP_025369112.1	WP_025369112.1	WP_025369112.1	WP_025369112.1	WP_009874442.1	WP_075474322.1	WP_011091543.1	WP_009874442.1	WP_009874442.1	WP_009874442.1	WP_158349571.1	WP_158349571.1	WP_011091543.1	WP_158341984.1	WP_158349571.1	WP_158353696.1	WP_009874442.1	WP_009874442.1	WP_158362916.1	WP_009874442.1	WP_009874442.1	WP_025369112.1	WP_025369112.1	WP_025369112.1	WP_009874442.1	WP_025369112.1	WP_009874442.1	WP_009874442.1	WP_158366969.1	WP_009874442.1	WP_025369112.1	WP_011091543.1	WP_009874442.1	WP_158345111.1	WP_009874442.1	WP_009874442.1	WP_013878025.1	WP_009874442.1	WP_009874442.1	WP_009874442.1	WP_025369112.1	WP_025369112.1	WP_013878025.1	WP_158349180.1	WP_025369112.1	WP_025369112.1	WP_025369112.1	WP_025369112.1	WP_025369112.1	WP_025369112.1	WP_025369112.1	WP_025369112.1	WP_025369112.1
8	8	0.847	*	*	WP_010895949.1	WP_009874063.1	WP_009874063.1	*	WP_009874063.1	WP_009874063.1	WP_009874063.1	WP_009874063.1	WP_009874063.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.847	*	*	WP_009874514.1	WP_012619584.1	WP_009874514.1	*	WP_009874514.1	WP_009874514.1	WP_009874514.1	WP_014498959.1	WP_009874514.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.847	*	*	WP_009874464.1	WP_009874464.1	WP_009874464.1	*	WP_009874464.1	WP_009874464.1	WP_009874464.1	WP_009874464.1	WP_009874464.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.847	*	*	WP_009874348.1	WP_009874348.1	WP_009874348.1	*	WP_009874348.1	WP_009874348.1	WP_009874348.1	WP_009874348.1	WP_009874348.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.847	*	*	WP_009874300.1	WP_012619513.1	WP_009874300.1	*	WP_009874300.1	WP_012619513.1	WP_012619513.1	WP_014498905.1	WP_012619513.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.847	*	*	WP_009874099.1	WP_009874099.1	WP_009874099.1	*	WP_009874099.1	WP_009874099.1	WP_009874099.1	WP_014498849.1	WP_009874099.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.846	*	*	WP_010895921.1	WP_009874020.1	WP_009874020.1	*	WP_009874020.1	WP_009874020.1	WP_009874020.1	WP_009874020.1	WP_009874020.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.846	*	*	WP_010895899.1	WP_009873967.1	WP_009873967.1	*	WP_009873967.1	WP_009873967.1	WP_009873967.1	WP_014498806.1	WP_009873967.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.846	*	*	WP_009874234.1	WP_012619489.1	WP_009874234.1	*	WP_009874234.1	WP_012619489.1	WP_012619489.1	WP_014498891.1	WP_012619489.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.846	*	*	WP_009874078.1	WP_012619438.1	WP_009874078.1	*	WP_009874078.1	WP_012619438.1	WP_012619438.1	WP_012619438.1	WP_012619438.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.845	*	*	WP_010896182.1	WP_012619596.1	WP_009874551.1	*	WP_009874551.1	WP_012619596.1	WP_012619596.1	WP_012619596.1	WP_012619596.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.845	*	*	WP_010896006.1	WP_009874169.1	WP_009874169.1	*	WP_009874169.1	WP_009874169.1	WP_009874169.1	WP_009874169.1	WP_009874169.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.845	*	*	WP_010895945.1	WP_012619429.1	WP_009874058.1	*	WP_009874058.1	WP_012619429.1	WP_014498682.1	WP_012619429.1	WP_012619429.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.845	*	*	WP_009874421.1	WP_012619561.1	WP_009874421.1	*	WP_009874421.1	WP_012619561.1	WP_012619561.1	WP_012619561.1	WP_012619561.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.845	*	*	WP_009874129.1	WP_012619462.1	WP_009874129.1	*	WP_009874129.1	WP_012619462.1	WP_012619462.1	WP_012619462.1	WP_012619462.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.844	*	*	WP_029585559.1	WP_009874163.1	WP_009874163.1	*	WP_010896003.1	WP_079172782.1	WP_079172782.1	WP_009874163.1	WP_079172778.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.844	*	*	WP_010895969.1	WP_012619447.1	WP_009874098.1	*	WP_009874098.1	WP_009874098.1	WP_009874098.1	WP_014498848.1	WP_014498999.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.844	*	*	WP_009874425.1	WP_012619563.1	WP_009874425.1	*	WP_009874425.1	WP_014499165.1	WP_012619563.1	WP_012619563.1	WP_012619563.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.844	*	*	WP_009874049.1	WP_009874049.1	WP_009874049.1	*	WP_009874049.1	WP_009874049.1	WP_009874049.1	WP_014498834.1	WP_009874049.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.843	*	*	WP_010896039.1	WP_010896039.1	WP_009874229.1	*	WP_009874229.1	WP_010896039.1	WP_010896039.1	WP_010896039.1	WP_010896039.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.842	*	*	WP_010895995.1	WP_012619469.1	WP_009874154.1	*	WP_009874154.1	WP_012619469.1	WP_014498709.1	WP_014498864.1	WP_012619469.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.841	*	*	WP_164927335.1	WP_014498740.1	WP_009874289.1	*	WP_012619385.1	WP_012619510.1	WP_012619510.1	WP_014498740.1	WP_012619510.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.841	*	*	WP_079172750.1	WP_079172750.1	WP_079172744.1	*	WP_079172744.1	WP_079172813.1	WP_079172750.1	WP_079172750.1	WP_079172750.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.841	*	*	WP_009874010.1	WP_009874010.1	WP_009874010.1	*	WP_009874010.1	WP_009874010.1	WP_044056562.1	WP_009874010.1	WP_009874010.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.84	*	*	WP_010896181.1	WP_010896181.1	WP_009874540.1	*	WP_009874540.1	WP_010896181.1	WP_010896181.1	WP_014498966.1	WP_010896181.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.84	*	*	WP_010896150.1	WP_010896150.1	WP_009874482.1	*	WP_009874482.1	WP_010896150.1	WP_010896150.1	WP_010896150.1	WP_010896150.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.84	*	*	WP_009874342.1	WP_009874342.1	WP_009874342.1	*	WP_009874342.1	WP_009874342.1	WP_009874342.1	WP_014498917.1	WP_009874342.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.839	*	*	WP_010896034.1	WP_009874220.1	WP_009874220.1	*	WP_009874220.1	WP_014498729.1	WP_014498729.1	WP_014498888.1	WP_009874220.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.839	*	*	WP_009874545.1	WP_009874545.1	WP_009874545.1	*	WP_009874545.1	WP_009874545.1	WP_009874545.1	WP_014498968.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_158339743.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.838	*	*	WP_009874026.1	WP_012619419.1	WP_009874026.1	*	WP_009874026.1	WP_012619419.1	WP_012619419.1	WP_012619419.1	WP_012619419.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.834	*	*	WP_009874524.1	WP_012619589.1	WP_009874524.1	*	WP_009874524.1	WP_009874524.1	WP_009874524.1	WP_009874524.1	WP_009874524.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.827	*	*	WP_010895919.1	WP_012619411.1	WP_009874009.1	*	WP_009874009.1	WP_012619411.1	WP_012619411.1	WP_014498819.1	WP_012619411.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.823	*	*	WP_010896072.1	WP_012619509.1	WP_012619384.1	*	WP_009874286.1	WP_014498738.1	WP_014498738.1	WP_014498738.1	WP_014498738.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.823	*	*	WP_009874414.1	WP_012619558.1	WP_009874414.1	*	WP_009874414.1	WP_012619558.1	WP_012619558.1	WP_012619558.1	WP_012619558.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.817	*	*	WP_010896029.1	WP_012619484.1	WP_009874211.1	*	WP_009874211.1	WP_012619484.1	WP_044056579.1	WP_012619484.1	WP_012619484.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.814	*	*	WP_010896049.1	WP_009874243.1	WP_009874243.1	*	WP_009874243.1	WP_014499142.1	WP_014498733.1	WP_009874243.1	WP_014499025.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.813	*	*	WP_010896051.1	WP_012619494.1	WP_009874245.1	*	WP_009874245.1	WP_014499143.1	WP_012619494.1	WP_014498894.1	WP_012619494.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.806	*	*	WP_009874367.1	WP_009874367.1	WP_009874367.1	*	WP_009874367.1	WP_049763547.1	WP_049763547.1	WP_009874367.1	WP_014499053.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.801	*	*	WP_100059690.1	WP_148203960.1	WP_100059690.1	*	WP_100059690.1	WP_071818252.1	WP_071818276.1	WP_100059690.1	WP_148218694.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.796	*	*	WP_009874208.1	WP_009874208.1	WP_009874208.1	*	WP_009874208.1	WP_009874208.1	WP_049769228.1	WP_014498884.1	WP_009874208.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.795	*	*	WP_010895988.1	WP_010895988.1	WP_009874140.1	*	WP_009874140.1	WP_014498707.1	WP_014498707.1	WP_014498707.1	WP_148218692.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.793	*	*	WP_071813238.1	WP_071813238.1	WP_071812968.1	*	WP_071812968.1	WP_071813238.1	WP_014498803.1	WP_071813238.1	WP_071813238.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.793	*	*	WP_010896041.1	WP_014498730.1	WP_009874232.1	*	WP_009874232.1	WP_014498730.1	WP_014498730.1	WP_014498890.1	WP_014499022.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.788	*	*	WP_009874417.1	WP_012619559.1	WP_009874417.1	*	WP_009874417.1	WP_014499068.1	WP_012619559.1	WP_014498942.1	WP_014499068.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.772	*	*	WP_010896050.1	WP_009874244.1	WP_009874244.1	*	WP_009874244.1	WP_009874244.1	WP_009874244.1	WP_014498893.1	WP_009874244.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.54	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_053940136.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_158360472.1	*	*	*	*	WP_158368511.1	*	WP_158339924.1	*	*	WP_158346121.1	WP_158348427.1	*	WP_158346121.1	WP_158360472.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.425	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_053940360.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_158360705.1	*	*	*	*	WP_158368960.1	*	WP_158340166.1	*	*	WP_158346579.1	WP_158347836.1	*	WP_158346579.1	WP_158360705.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.324	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_053940482.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_158360830.1	*	*	*	WP_158367127.1	WP_158369206.1	*	WP_158340292.1	*	*	*	WP_158348069.1	*	WP_178918856.1	WP_158360830.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.297	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_053940199.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_158360536.1	*	*	*	*	WP_158368641.1	*	WP_158339993.1	*	*	WP_158346249.1	WP_158347500.1	*	WP_158346249.1	WP_158360536.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.294	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_053940460.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_158360806.1	*	*	*	*	WP_158369160.1	*	WP_158340269.1	*	*	WP_158346795.1	WP_158348022.1	*	WP_178919420.1	WP_158360806.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.286	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_053940161.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_158360497.1	*	*	*	*	WP_158368563.1	*	WP_158339953.1	*	*	WP_158346177.1	WP_158348476.1	*	WP_178919084.1	WP_158360497.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.27	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_053940098.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_158360435.1	*	*	*	WP_158366312.1	WP_158368439.1	*	*	*	*	WP_158346049.1	WP_158348354.1	*	WP_178918998.1	WP_158360435.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.178	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_053940340.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_158360685.1	*	*	*	*	WP_158368918.1	*	WP_158340147.1	*	*	WP_158346540.1	WP_158347798.1	*	WP_158346540.1	WP_158360685.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.131	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_053940389.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_158360880.1	*	*	*	WP_158367289.1	WP_187308577.1	*	*	*	*	WP_193209526.1	WP_158348525.1	*	WP_178919364.1	WP_158360880.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.108	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_053940292.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_158360634.1	*	*	*	WP_158366715.1	WP_158368829.1	*	*	*	*	WP_158346440.1	WP_158347693.1	*	WP_158346440.1	WP_158360634.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.0992	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_053940221.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_158360559.1	*	*	*	*	WP_158368684.1	*	WP_158340015.1	*	*	WP_158346294.1	WP_158347546.1	*	WP_178919149.1	WP_158360559.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.0734	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_053940023.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_158360354.1	*	*	*	*	WP_158368266.1	*	WP_158339808.1	*	*	WP_158345890.1	WP_158348196.1	*	WP_178918906.1	WP_158360354.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.0722	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_053940003.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_158360333.1	*	*	*	*	WP_158368204.1	*	WP_158339787.1	*	*	WP_158345857.1	WP_158348152.1	*	WP_158345857.1	WP_158360333.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*
